movieId,title,genres,director,cast
54,Aan Devathai,"Drama, Family",Thamira,"Samuthirakani, Ramya Pandian, Kasturi Shankar"
55,Mercury,"Thriller, Horror",Karthik Subbaraj,"Prabhu Deva, Sananth, Indhuja Ravichandran"
56,Nagesh Thiraiyarangam,"Romance, Horror",Mohamad Issack,"Aari Arjuna, Ashna Zaveri, Masoom Shankar"
57,Raja Ranguski,"Crime, Thriller, Romance",Dharani Dharan,"Metro Shirish, Chandhini Tamilarasan, Kalloori Vinoth"
58,Junga,"Action, Comedy",Gokul,"Vijay Sethupathi, Sayesha Saigal, Madonna Sebastian"
59,Sema,"Action, Comedy",Vallikanth,"G. V. Prakash Kumar, Arthana Binu, Sujatha Sivakumar"
60,Johnny,"Action, Drama",P Vetriselvan,"Prabhu, Prashanth, Sanchita Shetty"
61,X Videos,"Drama, Thriller",Sajo Sundar,"Ajay Raj, Akriti Singh, Abhinav"
62,Aaruthra,Drama,Pa. Vijay,"Pa. Vijay, K. Bhagyaraj, S. A. Chandrasekhar"
63,Andhra Mess,"Thriller, Action",Jai,"Bharat Raj, Thejaswini, Pooja Devariya"
64,Pakshi,"Thriller, Adventure",Jagadeesan Subu,"Lakshmi Priyaa, Omkar Das Manikpuri, Vira Sathidar"
65,Thimiru Pudichavan,"Action, Drama",Ganeshaa,"Vijay Antony, Nivetha Pethuraj, Boxer Dheena"
66,Madura Veeran,"Action, Family",P. G. Muthiah,"Shanmuga Pandian, Meenakshi, Samuthirakani"
67,Odu Raja Odu,"Comedy, Drama",Nishanth Ravindaran,"Guru Somasundaram, Nassar, Anand Sami"
68,Kalavani Mappillai,"Action, Comedy, Romance",Gandhi Manivasagam,"Dinesh Ravi, Mirnaa, Anandaraj"
69,Kalari,"Action, Drama",Kiran Chand,"Krishna Kulasekaran, Samyuktha, Vidhya Pradeep"
70,60 Vayadhu Maaniram,"Family, Drama",Radha Mohan,"Vikram Prabhu, Prakash Raj, Samuthirakani"
71,Sollividava,"Action, Drama, Romance",Arjun Sarja,"Chandan Kumar, Aishwarya Arjun, Suhasini Maniratnam"
72,Merlin,Drama,Keera,"Vishnu Priyan, Ashwini Chandrashekaran, Lollu Sabha Jeeva"
73,Jarugandi,"Romance, Comedy, Action",Pitchumani,"Jai Sampath, Reba Monica John, Amit Kumar Tiwari"
74,Utharavu Maharaja,"Romance, Fantasy, Comedy",Asif Kuraishi,"Udhaya, Prabhu, Kovai Sarala"
75,Veera,"Romance, Comedy",K. Rajaraman,"Krishna Kulasekaran, Iswarya Menon, Karunakaran"
76,Baaram,Drama,Priya Krishnaswamy,"Raju, Sugumar Shanmugam, Supa Muthukumar"
77,Dhachka,Drama,Devik Rathod,"Rajendra Chawla, Aditi Jain, Jai Kumar"
78,Kutram Nadanthathu Enna,,Unknown,"Nassar, Balu, Vignesh Karthik"
79,Kaali,"Action, Drama",Kiruthiga Udhayanidhi,"Vijay Antony, Sunaina, Anjali"
80,Genius,Drama,Suseenthiran,"Roshan, Priyaa Lal, Adukalam Naren"
81,Kalki,"Drama, Romance, Science Fiction",Dhilip Kumar,"Kishore, Yasmin Ponnappa, Mithraboomi Saravanan"
82,Vidhi Mathi Ultaa,"Drama, Comedy",Vijay Balaji,"Rameez Raja, Janani Iyer, Daniel Balaji"
83,Billa Pandi,"Action, Romance",Saravana Sakthi,"R. K. Suresh, Indhuja Ravichandran, Yogi Babu"
84,Kathiruppor Pattiyal,"Romance, Comedy",Balaiya D. Rajasekhar,"Sachin Mani, Nandita Swetha, Rajendran"
85,Ivanukku Engeyo Macham Irukku,"Comedy, Romance",A. R. Mukesh,"Vimal, Ashna Zaveri, Anandaraj"
86,Kaathadi,"Action, Comedy",Kalyaan,"Avishek Karthik, Sai Dhanshika, John Vijay"
87,TEN RUPEES NOTE,Comedy,MURALIDHARAN,"AAKASH, AVINASH, unknown"
88,Traffic Ramasamy,Drama,Vicky Anand,"S. A. Chandrasekhar, Prakash Raj, Rohini"
89,Mr. Chandramouli,"Romance, Action, Family",Thiru,"Gautham Karthik, Karthik Muthuraman, Regina Cassandra"
90,Oru Kuppai Kathai,"Comedy, Drama",Kaali Rangasamy,"Dinesh, Manisha Yadav, Yogi Babu"
91,Kasu Mela Kasu,"Comedy, Romance",K. S. Palani,"Mayilsamy, Ganja Karuppu, Kovai Sarala"
92,33km From KL,"Mystery, Thriller",K. S. Umaagaanthan,"Ben G, Kavimaran THR Raaga, Logeswaran"
93,Amaavasai,"Drama, Horror, Thriller",Rakesh Sawant,"Jai Akash, Nupur Mehta, unknown"
94,Echcharikkai,"Crime, Thriller, Horror",K. M. Sarjun,"Sathyaraj, Varalaxmi Sarathkumar, Kishore"
95,Melnaattu Marumagan,Drama,MSS,"Rajkamal, Andreanne Nouyrigat, Lollu Sabha Manohar"
96,Asuravadham,Action,M. Maruthupandian,"M. Sasikumar, Nandita Swetha, Vasumithra"
97,Vanjagar Ulagam,"Action, Crime, Thriller",Manoj Beedha,"Guru Somasundaram, Ciby Bhuvana Chandran, Vishagan Sulur Vanangamudi"
98,Inba Twinkle Lilly,"Comedy, Drama",R K Vidyadaran,"Saranya Ponvannan, Kovai Sarala, Kalpana"
99,Maniyaar Kudumbam,"Comedy, Romance",Thambi Ramaiah,"Umapathy Ramaiah, Mrudula Murali, Thambi Ramaiah"
100,Kaala Koothu,"Drama, Romance, Thriller",M. Nagarajan,"Prasanna, Kalaiyarasan, Sai Dhanshika"
101,Ghajinikanth,"Family, Comedy, Romance",Santhosh P. Jayakumar,"Arya, Sayesha Saigal, Sathish"
102,Vedigundu Pasangge,"Comedy, Romance, Drama, Family",Vimala Perumal,"Denes Kumar, Sangeeta Krishnasamy, Thangamani Velayudan"
103,Nadodi Kanavu,"Drama, Action, Romance",Veera Selva,"Mahendran, Subraja, Sujatha Sivakumar"
104,Avalukkenna Azhagiya Mugam,,A. Kesavan,"Vijay Karthik, Yogi Babu, Anupama Prakash"
105,Yenda Thalaiyila Yenna Vekkala,"Fantasy, Romance, Comedy",Vignesh Karthik,"Azhar, Sanchita Shetty, Yogi Babu"
106,Panjumittai,"Romance, Comedy, Fantasy",S. P. Mohan,"Ma Ka Pa Anand, Nikhila Vimal, Sentrayan"
107,Enga Kattula Mazhai,"Comedy, Drama",Sribalaji,"Sonu Gowda, Appukutty, Chaams"
108,Neeyum Naanum,,Unknown,"Bala Ganapathi William, K.K. Khanna, Jasmine Michael"
109,Kadal Kuthiraigal,Drama,Pugazhenthi Thangaraj,"Rohini, Thalaivasal Vijay, Bose Venkat"
110,Abhiyum Anuvum,"Drama, Romance",B. R. Vijayalakshmi,"Tovino Thomas, Pia Bajpiee, Rohini"
