movieId,title,genres,director,cast
246,Suttu Pidikka Utharavu,"Action, Thriller",Ramprakash Rayappa,"Vikranth, Athulya Ravi, Mysskin"
247,Nedunalvaadai,Drama,Selvakannan,"Anjali Nair, Mime Gopi, Aindhu Kovilan"
248,Jiivi,"Crime, Drama",V. J. Gopinath,"Vetri, Monica Chinnakotla, Ashwini Chandrashekaran"
249,Kalavani 2,"Comedy, Drama",A. Sarkunam,"Vimal, Oviya Helen, Vignesh"
250,Irandam Ulagaporin Kadaisi Gundu,"Drama, Thriller",Athiyan Athirai,"Dinesh Ravi, Anandhi, Riythvika"
251,Bakrid,Drama,Jagadeesan Subu,"Vikranth, Vasundhara Kashyap, Ali Basha"
252,Charlie Chaplin 2,"Romance, Comedy, Drama",Sakthi Chidambaram,"Prabhu Deva, Nikki Galrani, Adah Sharma"
253,Jada,Drama,Kumaran,"Kathir, Yogi Babu, Kishore"
254,Sathru,"Romance, Action, Thriller",Naveen Nanjundan,"Kathir, Srushti Dange, Pawan"
255,Magamuni,"Drama, Thriller, Crime",Santha Kumar,"Arya, Mahima Nambiar, Indhuja Ravichandran"
256,Lisaa,Horror,Raju Viswanath,"Anjali, Sam Jones, Yogi Babu"
257,R. K. Nagar,"Romance, Comedy",Saravana Rajan,"Vaibhav Reddy, Sana Althaf, Sampath Raj"
258,Nethraa,"Drama, Thriller",A. Venkatesh,"Vinay Rai, Subiksha, Robo Shankar"
259,Vellai Pookal,"Drama, Thriller, Crime",Vivek Elangovan,"Vivek, Charle, Dev Ramnath"
260,Kolaigaran,"Action, Crime, Thriller, Drama",Andrew Louis,"Vijay Antony, Arjun Sarja, Ashima Narwal"
261,Bodhai Yeri Budhi Maari,"Drama, Thriller",Chandru K R,"Dheeraj, Pradaini Surva, Dushara Vijayan"
262,Pottu,Horror,V. C. Vadivudaiyan,"Bharath Srinivasan, Iniya, Srushti Dange"
263,A1,Comedy,Johnson K.,"Santhanam, Tara Alisha Berry, Yatin Karyekar"
264,Gilli Bambaram Goli,,D. Manoharan,"Deepti Shetty, Naresh, Prasath Karthik"
265,Pei Ellam Pavam,"Comedy, Thriller",Deepak Narayan,"Arasu Nadarajan, Appukutty, Dona Shankar"
266,Devarattam,"Action, Drama",M. Muthaiah,"Gautham Karthik, Manjima Mohan, Soori"
267,Sethum Aayiram Pon,"Drama, Family",Anand Ravichandran,"Nivedhithaa Sathish, Srilekha, Avinash Raghudevan"
268,Kanne Kalaimaane,"Drama, Family, Romance",Seenu Ramasamy,"Udhayanidhi Stalin, Tamannaah Bhatia, Vadivukarasi"
269,The Mosquito Philosophy,Drama,Jayaprakash Radhakrishnan,"Pradeep Damodharan, Sindhu Jayaprakash, Ravi Kathiresan"
270,Champion,Drama,Suseenthiran,"Mirnalini Ravi, Vishwa, Manoj Bharathiraja"
271,Back To School,"Action, Science Fiction",AAKASH,"ROHITKUMAR, AVINASH, YESHWANTH VISHAL"
272,Sigai,"Drama, Thriller",Jagadeesan Subu,"Kathir, Riythvika, Mayilsamy"
273,Mei,Thriller,S. A. Bhaskaran,"Nicky Sundaram, Aishwarya Rajesh, Kishore"
274,Kazhugu 2,"Drama, Thriller, Romance",Sathyasiva,"Krishna Kulasekaran, Bindu Madhavi, Kaali Venkat"
275,Azhiyatha Kolangal 2,Drama,MR Bharathi,"Prakash Raj, Revathi, Archana"
276,Butler Balu,"Comedy, Drama",ML Sudhir,"Yogi Babu, Imman Annachi, Mayilsamy"
277,Sindhubaadh,"Action, Thriller, Drama",S. U. Arunkumar,"Vijay Sethupathi, Anjali, Vivek Prasanna"
278,Gangs of Madras,"Crime, Drama",C. V. Kumar,"Sai Priyanka Ruth, Ashok Kumar Balakrishnan, Daniel Balaji"
279,Dha Dha 87,"Action, Drama",Vijay Sri G,"Charu Haasan, Janagaraj, Saroja Rajagopal"
280,Kattumaram,Drama,Swarnavel Eswaran,"Preeti Karan, Anusha Prabhu, Mysskin"
281,Rocky: The Revenge,"Action, Crime, Drama",K. C. Bokadia,"Srikanth, Eshanya Maheshwari, Nassar"
282,Chennai Palani Mars,"Fantasy, Drama, Comedy",Biju Viswanath,"Praveen Raja, Rajesh Giriprasad, Vasant Marimuthu"
283,Zhagaram,"Adventure, Thriller",Unknown,"Nandha, Eden Kuriakose, unknown"
284,Thirumanam,"Romance, Drama",Cheran,"Cheran, Kavya Suresh, Umapathy Ramaiah"
285,LKG,"Comedy, Drama",K. R. Prabhu,"RJ Balaji, Priya Anand, Ananth Vaidyanathan"
286,Sixer,"Comedy, Romance",Chachi,"Vaibhav Reddy, Palak Lalwani, Sathish"
287,Kalavu,"Mystery, Crime, Thriller",Murali Karthick,"Kalaiyarasan, Karunakaran, Abhirami Venkatachalam"
288,Kolanji,"Family, Drama",Dhanaram Saravanan,"Rajaji, Naina Sarwar, Samuthirakani"
289,Saaral,"Drama, Romance",DRL,"Azhar, Sri Priyanka, Kadhal Sukumar"
290,Kaadhal Munnetra Kazhagam,Drama,Manicka Sathya,"Prithvi Pandiarajan, Chandhini Tamilarasan, Singampuli"
291,Goko Mako,"Adventure, Drama, Romance, Comedy",Arun Kanth,"Danusha, Ram Kumar, Ajay Rathnam"
292,Puppy,Comedy,Nattu Dev,"Samyuktha Hegde, Varun Kamal, Yogi Babu"
293,To Let,Drama,Chezhian Ra,"Santhosh Nambirajan, Sheela Rajkumar, Dharun"
294,Thittam Pottu Thirudura Koottam,"Action, Comedy, Romance",Sudar,"Chandran, Satna Titus, R. Parthiban"
295,Natpuna Ennanu Theriyuma,"Comedy, Romance",Shiva Aravind,"Kavin Raj, Remya Nambeesan, Arunraja Kamaraj"
296,July Kaatril,Romance,K. C. Sundaram,"Ananth Nag, Anju Kurian, Paloma Monnappa"
297,100% Kaadhal,"Drama, Romance, Family",M. M. Chandramouli,"G. V. Prakash Kumar, Shalini Pandey, Nassar"
298,Simba,"Comedy, Drama, Fantasy",Arvind Sridhar,"Bharath Srinivasan, Premji Amaran, Bhanu Sri Mehra"
299,Gorilla,"Comedy, Romance, Action",Don Sandy,"Jiiva, Shalini Pandey, Sathish"
300,Capmaari,"Comedy, Drama, Romance",S. A. Chandrasekhar,"Jai Sampath, Athulya Ravi, Vaibhavi Shandilya"
301,Super Duper,"Comedy, Thriller",Na. Arun Karthik,"Dhruva, Indhuja Ravichandran, Shah Ra"
302,50/50,,Sai Krishna,"Sethu, Balasaravanan, Sonu Gowda"
303,Zombie,"Comedy, Horror",Bhuvan Nallan,"Yogi Babu, Yashika Anand, T.M. Karthik"
304,Maadathy,Drama,Leena Manimekalai,"Ajmina Kassim, Semmalar Annam, Patrick Raj"
305,Uriyadi 2,"Action, Thriller",Vijay Kumar,"Vijay Kumar, Vismaya, Sudhakar"
306,House Owner,"Drama, Family, Action",Lakshmi Ramakrishnan,"Kishore, Kishore DS, Lovelyn Chandrasekhar"
307,En Kadhali Scene Podura,Drama,Ram Sevva,"Mahesh Kumar, Shalu Chourasiya, Manobala"
308,Kali Muni Tharisanam,"Drama, Fantasy, Mystery",DTS Indran,"Ben G, Nithya Sree, Jeganathan"
309,Vilambaram,,K. A. Suriyanithi,"Abhinay Vaddi, Aishwarya Rajesh, Shri Ayrah"
310,Girls of Paadhai,Documentary,Natalia Preston,"unknown, unknown, unknown"
311,Thumbaa,Adventure,Harish Ram LH,"Darshan, Keerthi Pandian, KPY Dheena"
312,Neerthirai,Drama,P. S. Dharan,"Nassar, Thalaivasal Vijay, Ashwin Kakumanu"
313,Chennai 2 Bangkok,"Action, Drama",Sathish Santhosh,"Jai Akash, Sony Charishta, Kumki Ashwin"
314,K. D.,Drama,Madhumita,"Mu Ramaswamy, Naga Vishal, Yog Jappie"
315,Thanimai,,S. Sivaraman,"Sonia Agarwal, Bonda Mani, Ganja Karuppu"
316,Thiruttukkalyanam,,Sakthivelan,"A. Venkatesh, Tejasvy Jayakumar, Adukalam Naren"
317,Iruttu,"Horror, Thriller, Drama",V. Z. Durai,"Sundar C, Sai Dhanshika, Sakshi Chaudhary"
318,Bow Bow,Drama,S. Pradeep Kilikar,"Master Ahaan, unknown, unknown"
319,Miga Miga Avasaram,Drama,Suresh Kamatchi,"Sri Priyanka, Arish Kumar, Muthu Raman"
320,Kennedy Club,"Drama, Thriller",Suseenthiran,"M. Sasikumar, Bharathiraja, Soori"
321,Pulanaivu,"Crime, Romance, Thriller",Sathish Natarajan,"Irfan Zaini, Shalini Balasundaram, Desmond Dass"
322,Thozhar Venkatesan,Drama,Maghasivan,"Harishankar, Monica Chinnakotla, Supergood Subramani"
323,Sagaa,Crime,Murugesh,"Saran Shakthi, Ayraa, Kishore DS"
324,Kaanal Neer,"Drama, Family",Padmakumar M,"Prakash Bare, Hareesh Peradi, Priyanka Nair"
325,Podhu Nalan Karudhi,Action,Zion,"Karunakaran, Santhosh Prathap, Thrigun"
326,Aghavan,"Drama, Mystery",APG Elumalai,"Kishore Ravichandran, Nitya Shetty, Chinni Jayanth"
327,Kuthuoosi,"Action, Drama",Siva Shakthi,"Dhileban, Amala Rose, Jaya Balan"
328,Kaaviyyan,"Thriller, Action",I. V. Parthasarathy,"Shaam, Athmeeya Rajan, Srinath"
329,TIGER,"Crime, Thriller",AAKASH,"AVINASH, AAKASH, TIGER"
330,Unmaiyen Velicham,"Drama, Thriller",Unknown,"Kirthi Krishna, Nizhalgal Ravi, Vijay Aathik"
331,Metro Maalai,"Drama, Romance",Shobaan,"Satish Kumar, Punitah Shanmugam, Karishma Krishnasamy"
332,Ganesha Meendum Santhippom,"Comedy, Drama",Ratheesh Erate,"Prithvi Pandiarajan, Devika Nambiar, Oviya Helen"
333,Thorati,Drama,P. Marimuthu,"Shaman Mithru, Sathyakala, Azhagu"
334,Thirupathisamy Kudumbam,"Drama, Romance",Suresh Shanmugam,"Aishwarya Lekshmi, Devadarshini, Mayilsamy"
335,Venpa,"Drama, Romance",K. Kavi Nanthan,"Yuvaraj Krishnasamy, Agalyah Maniam, Thevaguru Suppiah"
336,Maaniik,"Romance, Comedy",Martyn Nirmal Kumar,"Ma Ka Pa Anand, Suza Kumar, Manobala"
337,Thavam,"Action, Drama",R. Vijay Anand,"Pooja Shree, Seeman, Vasi Asif"
338,Ungala Podanum Sir,"Comedy, Horror",Sreejith Vijayan,"Jithan Ramesh, Kalloori Vinoth, Manobala"
339,Embiran,,Krishna Pandi,"Radhika Preeti, Rejith Menon, Kalyani Natarajan"
340,Perazhagi ISO,,Unknown,"Shilpa Manjunath, Vivek Raj, Livingston"
341,Maanasi,Drama,Navaz Sulaiman,"Naresh Madeswar, Harissa Begum, Anbil Manimaran"
342,Karuthukalai Pathivu Sei,Thriller,Rahul Paramahamsa,"Upasana Rai, Aryan, unknown"
343,Nungambakkam,"Crime, Thriller",Ramesh Selvan D S,"Ajmal Ameer, R. N. R. Manohar, Mano"
344,Natchathira Jannalil,"Drama, Romance",Jaya Murugesan,"Abishek Kumar, Anupriya, Bose Venkat"
345,Pattipulam,"Comedy, Romance",J. Suresh,"Amitha Rao, Veera Samar, Yogi Babu"
346,Mosadi,"Drama, Thriller",K. Jagatheesan,"Viju Iyyapasamie, Pallavi Dora, unknown"
347,Kudimagan,Drama,Sathieshwaran,"Nanditha Jennifer, Akash, Bava Chelladurai"
348,Soundless Dance,Drama,Pradeepan Raveendran,"Patrick Yogarajan, Manoranjan Jegatheeswaran, Lavan Nadarajah"
349,Seemathurai,,Unknown,"Varsha Bollamma, Geethan Britto, unknown"
350,Mayuran,"Crime, Thriller",Nandan Subbarayan,"Anand Sami, Vela Ramamoorthy, Amudhavanan"
351,Unarvu,,Subu,"Suman Talwar, Kottachi, Arul D. Shankar"
352,PEI KADHAI,"Horror, Comedy",MURALIDHARAN,"AAKASH, AVINASH, TAMIZHARASI"
353,Azhaggiye Thee,"Drama, Romance",Logan,"Saresh D'seven, unknown, unknown"
354,Arandavanukku Irundathellam Pei,,M. S. Selvam,"Anu Krishna, Singampuli, Bonda Mani"
355,The Flowers and the Gemstones,Documentary,Sriram Raja,"unknown, unknown, unknown"
356,Kuttram Seiyel,"Crime, Action, Thriller",Venkatesh,"Bose Venkat, Dr S Selvamuthu, Sonia Bose Venkat"
357,Khyla,"Drama, Thriller",Basker Sinouvassene,"Dana Naidu, Baskar, Gogen"
358,Kadhal Mattum Vena,"Drama, Romance",Sam Khan,"Sam Khan, Elizabeth, Divyanganaa Jain"
359,Scissors,"Action, Drama",N Praveen,"Mukesh, N Praveen, Abrar"
360,Marina Puratchi,Drama,M.S. Raj,"Naveen Kumar, Shruti Reddy, unknown"
361,2 Glasses of Milk,Drama,Thiyagesh Ramalingam,"Maathevan, Ismail, unknown"
362,Spot,,Unknown,"unknown, unknown, unknown"
363,Singapore Rajini,"Drama, Romance, Comedy",Arivu K Saaminatann,"Singapore Rajini, Rishika, Rose Nas"
364,Stories at 8,Drama,Unknown,"unknown, unknown, unknown"
365,My Caste,,R. P. Amudhan,"unknown, unknown, unknown"
366,Oh My Kadavule,"Comedy, Romance",Ashwath Marimuthu,"Ashok Selvan, Ritika Singh, Vani Bhojan"
367,Psycho,"Thriller, Drama",Mysskin,"Rajkumar Pitchumani, Aditi Rao Hydari, Udhayanidhi Stalin"
368,Darbar,"Action, Drama, Thriller",A.R. Murugadoss,"Rajinikanth, Nayanthara, Suniel Shetty"
369,Kannum Kannum Kollaiyadithaal,"Comedy, Romance, Drama",Desingh Periyasamy,"Dulquer Salmaan, Ritu Varma, Rakshan"
370,Putham Pudhu Kaalai,"Drama, Family",Sudha Kongara Prasad,"Jayaram, Urvashi, Kalidas Jayaram"
371,Andhaghaaram,Thriller,V. Vignarajan,"Arjun Das, Vinoth Kishan, Pooja Ramachandran"
372,Naan Sirithal,"Comedy, Drama",Raana,"HipHop Tamizha Adhi, Iswarya Menon, K. S. Ravikumar"
373,Ponmagal Vandhal,"Thriller, Drama",JJ Fredrick,"Jyothika, R. Parthiban, K. Bhagyaraj"
374,Mookuthi Amman,"Comedy, Fantasy",NJ Saravanan,"Nayanthara, RJ Balaji, Urvashi"
375,Penguin,"Thriller, Mystery, Crime",Eashvar Karthic,"Keerthy Suresh, Linga, Madhampatty Rangaraj"
376,Nasir,Drama,Arun Karthick,"Valavane Koumarane, Sudha Ranganathan, Yasmin Rahman"
377,Ka/Pae. Ranasingam,Drama,P. Virumandi,"Aishwarya Rajesh, Vijay Sethupathi, Rangaraj Pandey"
378,Asuraguru,"Action, Thriller, Drama",Rajdeep,"Vikram Prabhu, Mahima Nambiar, Yogi Babu"
379,Dharala Prabhu,Comedy,Krishna Marimuthu,"Harish Kalyan, Vivek, Tanya Hope"
380,Vaanam Kottatum,"Drama, Family",Dhana,"Vikram Prabhu, Madonna Sebastian, Aishwarya Rajesh"
381,Varmaa,"Drama, Romance",Bala,"Dhruv Vikram, Megha Chowdhury, Easwari Rao"
382,Oru Pakka Kathai,"Family, Drama",Balaji Tharaneetharan,"Kalidas Jayaram, Megha Akash, P. V. Chandramouli"
383,Naanga Romba Busy,"Comedy, Drama",Badri,"Yogi Babu, Rittika Sen, Prasanna"
384,Ettu Thikkum Para,Drama,Keera,"Samuthirakani, Nithish Veera, Chandhini Tamilarasan"
385,Pattas,"Action, Comedy",R. S. Durai Senthilkumar,"Dhanush, Sneha, Mehreen Pirzada"
386,Thatrom Thookrom,Action,Arul Suriakannu,"Teejay, Nandu Suresh, Sakthivel Kalkona"
387,Draupathi,"Action, Drama",Mohan G,"Richard Rishi, Sheela Rajkumar, Arumugam Bala"
388,Alti,,M. J. Hussain,"Manisha Jith, Robert, Sentrayan"
389,Mafia,"Action, Drama",Karthick Naren,"Arun Vijay, Priya Bhavani Shankar, Prasanna"
390,Biskoth,"Comedy, Romance",R. Kannan,"Santhanam, Tara Alisha Berry, Anandaraj"
391,College Kumar,"Comedy, Drama",Hari Santosh,"Priya Vadlamani, Rahul Vijay, Prabhu"
392,Naadodigal 2,"Comedy, Drama",Samuthirakani,"M. Sasikumar, Anjali, Athulya Ravi"
393,Dagaalty,"Comedy, Action",Vijay Anand,"Santhanam, Rittika Sen, Yogi Babu"
394,Maayanadhi,"Drama, Family",Ashok Thiagarajan,"Venba, Adukalam Naren, Vijay Vishwa"
395,Patra Vaitha Nerupondru,"Action, Drama, Thriller",Vinoth Rajendran,"Smruthi Venkat, Dinesh, Ranjith"
396,Kavalthurai Ungal Nanban,"Crime, Thriller",RDM,"Suresh Ravi, Raveena Ravi, Mime Gopi"
397,Kanni Maadam,,Bose Venkat,"Sreeram Karthik, Gayathri, Aadukalam Murugadoss"
398,Gypsy,"Adventure, Drama",Raju Murugan,"Jiiva, Natasha Singh, Sunny Wayne"
399,Sinamkol,,Ranjith Joseph,"unknown, unknown, unknown"
400,Kanni Raasi,,S. Muthukumaran,"Vimal, Varalaxmi Sarathkumar, Pandiarajan"
401,Insight,"Crime, Thriller, Action",Rajaraman,"Kirubha, Sathya Devaranjan, Tanya Joseph"
402,Rajavukku Check,Thriller,Sai Rajkumar,"Cheran, Srushti Dange, Sarayu Mohan"
403,Andava Kaanom,Drama,C. Velmathi,"Sriya Reddy, Vijay Sethupathi, Vinodh Munna"
404,Routtu,"Drama, Crime",A. C. Manikandan,"Kathiravan Balu, Madhumitha, Mime Gopi"
405,Pachai Vilakku,,Maran,"Maran, Dheesha, Imman Annachi"
406,Seeru,"Action, Drama",Sami Rajalingam,"Jiiva, Riya Suman, Varun Kamal"
407,Karthik Dial Seytha Yenn,"Drama, Romance",Gautham Vasudev Menon,"Trisha Krishnan, Silambarasan, unknown"
408,Walter,"Action, Thriller, Crime, Drama",U. Anbarasan,"Sibiraj, Shirin Kanchwala, Samuthirakani"
409,God Father,,Jegan Rajshekar,"Natarajan Subramaniam, Lal, Ananya"
410,Irandam Kuththu,"Horror, Comedy",Santhosh P. Jayakumar,"Santhosh P. Jayakumar, Daniel Annie Pope, Meenal Sahu"
411,Karuppankaatu Valasu,"Drama, Horror",Selvendran,"Neelima Rani, George Vijay Nelson, Ebenezer Devaraj"
412,B.Selvi & Daughters,Drama,Drishya,"Kalairani, Gayathrie Shankar, 'Jeeva' Ravi"
413,Irumbu Manithan,"Comedy, Romance",Disney,"Santhosh Prathap, Archana, Ganja Karuppu"
414,Pizhai,Drama,Rajvel Krishnaa,"Charle, Mime Gopi, Nasath"
415,Mamakiki,"Romance, Comedy",Sameer Bharat Ram,"Preetha Anandan, Ramesh Thilak, Maanas Chavali"
416,Cocktail,Comedy,RA Vijaya Murugan,"Yogi Babu, Rashmi Gopinath, Mime Gopi"
417,Yen Peyar Anandhan,"Drama, Thriller",Sridhar Venkatesan,"Athulya Ravi, Santhosh Prathap, Deepak Paramesh"
418,Indha Nilai Maarum,"Comedy, Drama",Arun Kanth,"Nivedhithaa Sathish, Ashwin Kumar, Ram Kumar"
419,Onbathu Kuzhi Sampath,"Drama, Romance",Ja. Ragupathi,"Balaji Maharaja, Nikhila Vimal, Appukutty"
420,Miya,"Horror, Thriller",R. L. Ravi,"Sonia Agarwal, Namitha, Veerendra Chowdary"
421,Chiyaangal,,Vaigarai Balan,"Nalinikanth, G. Karikalan, Raju Saravanan"
422,Day Knight,"Mystery, Thriller",NK Kandi,"Aadarsh Pullanikat, Annam Shajan, Riya Choudhary"
423,Theeviram,"Drama, Thriller",Michael Muthu,"Amzath Khan, Arjun Chidambaram, Gokul Anand"
424,Why do flowers die,Drama,pramoth durai,"Nagarathinam, pramoth durai, George David"
425,Velvet Nagaram,Thriller,Manoj Kumar Natarajan,"Varalaxmi Sarathkumar, Ramesh Thilak, Arjai"
426,Danny,"Thriller, Crime",L. C. Santhanamoorthy,"Varalaxmi Sarathkumar, Vela Ramamoorthy, Vinoth Kishan"
427,Lockup,"Crime, Thriller",SG Charles,"Vaibhav Reddy, Venkat Prabhu, Vani Bhojan"
428,Hawala,"Action, Crime, Thriller",Ammith Rao,"Kamil Shaikh, Mangam Srinivas, Ammith Rao"
429,Sandimuni,"Comedy, Horror",Milka S. Selvakumar,"Manisha Yadav, Yogi Babu, Natarajan Subramaniam"
430,Taana,"Comedy, Horror, Drama",Yuvaraj Subramani,"Vaibhav Reddy, Nandita Swetha, Yogi Babu"
431,En Sangathu Aala Adichavan Evanda,Drama,Naveen Manikandan,"Delhi Ganesh, Madhumitha, Vikas"
432,Kadathal Kaaran,,Unknown,"Renuka, unknown, unknown"
433,Thadayam Mudhal Adhyayam,"Crime, Thriller, Drama",Mani Karthik,"Linga, Anand TR, Karthikeyan Ayyacham"
434,Unakkagathane,"Action, Crime, Drama",S.P Srikanth,"Yasmin Nadiah, Rajendran, Siva Shankar"
435,AASPATHIRI,"Comedy, Drama",AAKASH,"AAKASH, AVINASH, YESHWANTH VISHAL"
436,The Tremor,Mystery,Balaji Vembu Chelli,"Rajeev Anand, Semmalar Annam, Sasikumar Sivalingam"
437,Quota,"Drama, Family",P. Amudhavanan,"Aadhil, Bhavaas, Naresh Madeswar"
438,The Nightmare,"Horror, Thriller",V. G. Ravyn Manogaran,"Vidia Liana, Logen Manogaran, unknown"
439,Yaadhumagi Nindraai,Drama,Gayathri Raguram,"Gayathri Raguram, Abhishek Vinod, Nivas Adithan"
440,Meendum Oru Mariyathai,Drama,Bharathiraja,"Bharathiraja, Rasi Nakshatra, Mounika"
441,Enthiran Spoof,Comedy,MURALIDHARAN,"AVINASH, AAKASH, unknown"
442,Adavi,Drama,G. Ramesh,"Ammu Abhirami, Vinoth Kishan, R. N. R. Manohar"
443,Kanya,Drama,Apoorva Satish,"Tarunya Satish, Balaji Rajashekar, Mona Kakade"
444,Kayiru,Drama,Ganesh,"SR Gunaa, Cheran Raj, Hello Kandasamy"
445,Coffee Cafe,Drama,Arunkumar Senthil,"Abirami, Dilli, Shara Monu"
446,Dhowlath,Action,Sakthee Sivan,"Rashmi Gautham, Yogi Babu, Sakthee Sivan"
447,Santhittha Naal Muthal,"Romance, Comedy",Sheela Pravina,"Mervin Emmanuel, Nawinia Murali, Kishalini"
448,The Girl with the Red Ribbons,Drama,Jayakrishnan Subramanian,"unknown, unknown, unknown"
449,Athaiyum Thaandi,"Comedy, Romance",Vikinish Lokarag Asokan,"Vemanna Appannah, Yuvaraj Krishnasamy, Vanessa Cruez"
450,Galtha,"Action, Drama",S Hari Uthraa,"Antony Sagayaraj, Appukutty, Divya Elumalai"
451,Athigaari,"Thriller, Crime, Drama",Kabilan Plondran,"Bala Ganapathi William, Nanthini Ganasen, K. Karnan G Crak"
452,ENPA,"Comedy, Drama",MURALIDHARAN,"AVINASH, AAKASH, unknown"
453,Biya,,Raj Gokul Das,"Raj Gokul Das, Savanthika, Anil Murali"
454,Virus Mairus,Comedy,Gogularaajan Rajendran,"Rajendran, Gogularaajan Rajendran, Senthu"
455,Utraan,"Action, Romance",O Rajagajini,"Heroshini Komali, Roshan Udayakumar, Arumugam Bala"
456,Yours Truly,"Drama, Romance",Ram Shankar,"Gokul, Aravind, Pooja Venkat"
457,Kaalam Maari Pochu,Drama,Kumaravarman R. Sivaperumal,"Ravin Rao Santheran, Kavita Sinniah, Eswarji"
458,A Reciprocated Lust,"Mystery, Crime",Githen Kiruba,"Sajith Jay, unknown, unknown"
459,ஆடி / Mirror,,Manikandan,"unknown, unknown, unknown"
460,Dopamine : A reason For Addiction,Drama,L. S. Madhesh,"L. S. Madhesh, unknown, unknown"
461,Thunivu,Drama,Kodeeswaran,"unknown, unknown, unknown"
462,Battle of the Hearts,"Action, Thriller",Unknown,"Sivakumar Palakrishnan, unknown, unknown"
463,Marijuana,Thriller,Unknown,"Rishi Rithvik, Srinivasan, Asha Parthalom"
464,The Mirage of Dragonfly,Drama,Rathesh Kowsalya,"ShreeRaj, Aarthi, Ajith Vignesh"
465,Paramapatham,Fantasy,Thanesh Perrabu,"unknown, unknown, unknown"
466,First Vacation,Drama,Amelia Tan Meiya,"Dennis Thomas, James Ng Jun Yaik, unknown"
467,Soodu,,Unknown,"unknown, unknown, unknown"
468,Grace,,Smarak Samarjeet,"unknown, unknown, unknown"
469,Tamani,"Crime, Drama",Unknown,"unknown, unknown, unknown"
470,Footwear,Comedy,Somasundaram Sembian,"Somasundaram Sembian, Meena Sembian, Shaanmugam"
471,Pulikodi Devan,,SP Raaj Prabhu,"Michael Sasikumar, Guna, Krithika"
472,Thedu,,Eeshwar,"Santhosh Sanjay, Meghna, Sivakasi Murugesan"
473,Paakaati Po,"Comedy, Romance",Kathir Raven S,"Kathir Raven S, Santhini Antony, Sai Sangeetha"
474,Password,Thriller,Kannan,"unknown, unknown, unknown"
475,Tamil Rockers,"Comedy, Thriller",Barani Jayapal,"Premji Amaran, Meenakshi Dixit, VTV Ganesh"
476,Jai Bhim,"Crime, Drama, Mystery",T. J. Gnanavel,"Suriya, Lijomol Jose, Baby Joshika Maya"
477,Master,"Action, Thriller, Crime, Adventure",Lokesh Kanagaraj,"Vijay, Vijay Sethupathi, Arjun Das"
478,Maanaadu,"Thriller, Action, Science Fiction",Venkat Prabhu,"Silambarasan, S. J. Suryah, Kalyani Priyadarshan"
479,Jagame Thandhiram,"Crime, Comedy",Karthik Subbaraj,"Dhanush, James Cosmo, Joju George"
480,Karnan,"Drama, Action",Mari Selvaraj,"Dhanush, Rajisha Vijayan, Natarajan Subramaniam"
481,Thalaivii,Drama,A. L. Vijay,"Kangana Ranaut, Arvind Swamy, Nassar"
482,Aranmanai 3,"Comedy, Horror, Drama",Sundar C,"Arya, Raashii Khanna, Andrea Jeremiah"
483,Doctor,"Action, Comedy, Thriller",Nelson Dilipkumar,"Sivakarthikeyan, Vinay Rai, Priyanka Arul Mohan"
484,Teddy,"Action, Thriller, Fantasy, Adventure",Shakti Soundar Rajan,"Arya, Sayesha Saigal, Sakshi Agarwal"
485,Sulthan,"Action, Romance",Bhagyaraj Kannan,"Karthi, Rashmika Mandanna, Ramachandra Raju"
486,Sarpatta Parambarai,"Action, Drama",Pa. Ranjith,"Arya, Pasupathy, Kalaiyarasan"
487,Bhoomi,Drama,Lakshman,"Jayam Ravi, Nidhhi Agerwal, Ronit Roy"
488,Kasada Thapara,Drama,Chimbu Deven,"Premji Amaran, Regina Cassandra, Yugi Sethu"
489,Oh Manapenne!,"Drama, Romance, Comedy",Kaarthikk Sundar,"Harish Kalyan, Priya Bhavani Shankar, Anbu Thasan"
490,Pulikkuthi Pandi,"Action, Romance",M. Muthaiah,"Vikram Prabhu, Lakshmi Menon, Samuthirakani"
491,Annabelle Sethupathi,"Comedy, Fantasy, Horror",Deepak Sundarrajan,"Vijay Sethupathi, Taapsee Pannu, Jagapati Babu"
492,First Nights,"Comedy, Drama, Romance",Jack Prabhu,"Anusha Prabhu, Kalaiyarasan R, Ramya Nivas"
493,Maara,Drama,Dhilip Kumar,"R. Madhavan, Shraddha Srinath, Sshivada Nair"
494,Blood Money,"Mystery, Thriller",K. M. Sarjun,"Priya Bhavani Shankar, Metro Shirish, Kishore"
495,Nenjam Marappathillai,"Thriller, Horror",Selvaraghavan,"S. J. Suryah, Regina Cassandra, Nandita Swetha"
496,Dikkiloona,"Comedy, Romance, Science Fiction",Karthik Yogi,"Santhanam, Yogi Babu, Anagha"
497,Kamali from Nadukkaveri,"Drama, Romance",Rajasekar Duraisamy,"Anandhi, Rohit Saraf, N. Azhagamperumal"
498,Mandela,"Comedy, Drama",Madonne Ashwin,"Yogi Babu, G. M. Sundar, Kanna Ravi"
499,Chakra,Action,M. S. Anandan,"Vishal Krishna, Shraddha Srinath, Regina Cassandra"
500,Chithirai Sevvaanam,"Family, Drama",Stunt Silva,"Samuthirakani, Pooja Kannan, Rima Kallingal"
501,Udanpirappe,"Family, Drama",Era. Saravanan,"Jyothika, M. Sasikumar, Samuthirakani"
502,Anandham Vilayadum Veedu,"Family, Romance, Action",Nandha Periyasamy,"Gautham Karthik, Shivathmika, Cheran"
